"indice";"id";"protocoloRN";"siglaTribunal";"grau";"grau_valido";"classeProcessual";"classeProcessual_valida";"numero";"numero_valido";"faseProcessual";"segmentoJustica";"assuntos";"assuntos_count";"assuntos_validos";"assuntos_invalidos";"assuntos_invalidos_count";"dataAjuizamento";"dataAjuizamento_parsed";"dataAjuizamento_valida";"millisInsercao";"millisInsercao_parsed";"orgaoJulgador_codigoOrgao";"orgaoJulgador_valido";"codigoLocalidade";"codigoLocalidade_valido";"nivelSigilo";"procEl";"procEl_valido";"dscSistema";"dscSistema_valido";"polo_at_count";"polo_at_fisica_count";"polo_at_fisica_documento_count";"polo_at_fisica_documento_valido_count";"polo_at_fisica_sem_nome_count";"polo_at_fisica_sem_sexo_count";"polo_at_fisica_sem_dataNascimento_count";"polo_at_fisica_sexo_array";"polo_at_juridica_count";"polo_at_juridica_documento_count";"polo_at_juridica_documento_valido_count";"polo_at_autoridade_count";"polo_at_orgaorepresentacao_count";"polo_pa_count";"polo_pa_fisica_count";"polo_pa_fisica_documento_count";"polo_pa_fisica_documento_valido_count";"polo_pa_fisica_sem_nome_count";"polo_pa_fisica_sem_sexo_count";"polo_pa_fisica_sem_dataNascimento_count";"polo_pa_fisica_sexo_array";"polo_pa_juridica_count";"polo_pa_juridica_documento_count";"polo_pa_juridica_documento_valido_count";"polo_pa_autoridade_count";"polo_pa_orgaorepresentacao_count";"polo_vi_count";"polo_vi_fisica_count";"polo_vi_juridica_count";"polo_vi_autoridade_count";"polo_vi_orgaorepresentacao_count";"mov_count";"mov_count_invalido";"mov_array_invalido";"mov_exige_complemento_count";"mov_exige_complemento_sem_complemento";"mov_exige_complemento_count_invalido";"mov_exige_complemento_array_invalido";"mov_dataHora_count_invalido";"mov_magistradoProlator_count";"mov_magistradoProlator_count_invalido";"mov_ultimo_nivel_count_invalido";"mov_ultimo_nivel_array_invalido";"mov_1st_recebimento_cod";"mov_1st_recebimento_descricao";"mov_1st_recebimento_complemento";"mov_1st_recebimento_dataHora";"mov_1st_recebimento_ano";"mov_1st_denuncia_queixa_cod";"mov_1st_denuncia_queixa_dataHora";"mov_1st_denuncia_queixa_ano";"mov_1st_julgamento_cod";"mov_1st_julgamento_descricao";"mov_1st_julgamento_dataHora";"mov_1st_julgamento_ano";"mov_1st_tree_385_cod";"mov_1st_tree_385_descricao";"mov_1st_tree_385_dataHora";"mov_1st_tree_385_ano";"mov_1st_baixa_cod";"mov_1st_baixa_descricao";"mov_1st_baixa_dataHora";"mov_1st_baixa_complemento";"mov_1st_baixa_ano";"mov_last_baixa_cod";"mov_last_baixa_descricao";"mov_last_baixa_dataHora";"mov_last_baixa_complemento";"mov_last_baixa_ano";"mov_1st_execucao_iniciada_cod";"mov_1st_execucao_iniciada_descricao";"mov_1st_execucao_iniciada_dataHora";"mov_1st_execucao_iniciada_complemento";"mov_1st_execucao_iniciada_classe_anterior";"mov_1st_execucao_iniciada_classe_nova";"mov_1st_homolog_revog_cod";"mov_1st_homolog_revog_descricao";"mov_1st_homolog_revog_dataHora";"mov_1st_homolog_revog_ano";"mov_1st_conc_deneg_cod";"mov_1st_conc_deneg_descricao";"mov_1st_conc_deneg_dataHora";"mov_1st_conc_deneg_ano";"mov_1st_decreta_falencia_cod";"mov_1st_decreta_falencia_descricao";"mov_1st_decreta_falencia_dataHora";"mov_1st_decreta_falencia_ano";"mov_last_sobrestamento_cod";"mov_last_sobrestamento_descricao";"mov_last_sobrestamento_dataHora";"mov_last_sobrestamento_ano";"mov_last_dessobrestamento_cod";"mov_last_dessobrestamento_descricao";"mov_last_dessobrestamento_dataHora";"mov_last_dessobrestamento_ano";"mov_last_mov_cod";"mov_last_mov_descricao";"mov_last_mov_dataHora";"mov_last_mov_ano";"mov_Sent_count";"mov_Sent_count_2018";"mov_Sent_count_2019";"mov_Sent_count_2020";"mov_Sent_count_2021";"mov_Sent_count_2022";"mov_Sent_array_data";"mov_Sent_homolog_count";"mov_Sent_homolog_count_2018";"mov_Sent_homolog_count_2019";"mov_Sent_homolog_count_2020";"mov_Sent_homolog_count_2021";"mov_Sent_homolog_count_2022";"mov_SentC_count";"mov_SentC_count_2018";"mov_SentC_count_2019";"mov_SentC_count_2020";"mov_SentC_count_2021";"mov_SentC_count_2022";"mov_SentC_array_data";"mov_Liminar_count";"mov_Liminar_count_2018";"mov_Liminar_count_2019";"mov_Liminar_count_2020";"mov_Liminar_count_2021";"mov_Liminar_count_2022";"mov_Audiencia_count";"mov_Audiencia_count_invalida";"mov_AudConc_count";"mov_AudConc_count_2018";"mov_AudConc_count_2019";"mov_AudConc_count_2020";"mov_AudConc_count_2021";"mov_AudConc_count_2022";"mov_AudConc_array_data";"mov_last_51_cod";"mov_last_51_descricao";"mov_last_51_dataHora";"mov_last_julgamento_cod";"mov_last_julgamento_descricao";"mov_last_julgamento_dataHora";"mov_1st_sessao_juri_cod";"mov_1st_sessao_juri_descricao";"mov_1st_sessao_juri_dataHora";"mov_1st_sessao_juri_complemento";"mov_1st_condenacao_procedente_cod";"mov_1st_condenacao_procedente_descricao";"mov_1st_condenacao_procedente_dataHora";"mov_distribuicao_cancelada_flag";"mov_remessa_count";"mov_remessa_count_invalida";"mov_mudanca_classe_count";"mov_mudanca_classe_count_invalida";"mov_mudanca_classe_codigos";"mov_mudanca_classe_datas";"mov_mudanca_classe_anteriores";"mov_mudanca_classe_novas";"mov_mudanca_classe_complementos";"mov_suspencao_count";"mov_suspencao_count_invalida";"mov_suspencao_complementos";"mov_medida_protetiva_count";"mov_medida_protetiva_count_invalida";"mov_medida_protetiva_complementos";"mov_procedimento_restaurativo_count";"mov_procedimento_restaurativo_count_invalido";"mov_procedimento_restaurativo_complementos";"mov_last_reativacao_cod";"mov_last_reativacao_descricao";"mov_last_reativacao_dataHora";"classesProcessuais"
"processos-tjmsp";"TJMSP_11041_G1_15662_00001322720169260030";"TJMSP98264202108041628090867414";"TJMSP";"G1";"True";11041;"True";1322720169260030;"True";1;"Justiça Militar Estadual";"11345";1;"True";NA;0;2,0161121e+13;2,0161121e+13;"True";1628090871004;20210804122751;15662;"True";3550308;"True";0;2;"True";8;"True";1;0;0;0;0;0;0;"";1;1;1;0;0;1;1;1;1;0;0;0;"M";0;0;0;0;0;0;0;0;0;0;55;0;NA;27;0;0;"";0;3;0;0;NA;"132";NA;"['Recebidos os autos']";2,0160118e+13;2016;"391.0";2,016051e+13;2016;"";NA;NA;NA;"";NA;NA;NA;"246.0";NA;2,0170216e+13;"";"2017.0";"246.0";NA;2,0170216e+13;"";"2017.0";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"123";NA;2,0171018e+13;2017;0;0;0;0;0;0;"[]";0;0;0;0;0;0;0;0;0;0;0;0;"[]";0;0;0;0;0;0;10;0;0;0;0;0;0;0;"[]";"51.0";NA;2,0170216e+13;"";NA;NA;NA;NA;NA;NA;"";NA;NA;"False";4;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[11041]"
"processos-tjmsp";"TJMSP_11041_G1_15663_00009781420169260040";"TJMSP64852202108041628090855404";"TJMSP";"G1";"True";11041;"True";9781420169260040;"True";1;"Justiça Militar Estadual";"11327";1;"True";NA;0;2,0160523e+13;2,0160523e+13;"True";1628090857492;20210804122737;15663;"True";3550308;"True";0;2;"True";8;"True";1;0;0;0;0;0;0;"";1;1;1;0;0;1;1;1;1;0;0;0;"F";0;0;0;0;0;0;0;0;0;0;34;0;NA;16;0;0;"";0;3;0;0;NA;"391";NA;"['1:nome_da_parte:CINTIA REGINA SARDINHA']";2,016033e+13;2016;"391.0";2,016033e+13;2016;"1042.0";NA;2,0200212e+13;2020;"1042.0";NA;2,0200212e+13;2020;"123.0";NA;2,0160803e+13;"18:motivo_da_remessa:38";"2016.0";"246.0";NA;2,0200507e+13;"";"2020.0";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"51";NA;2,0201217e+13;2020;1;0;0;1;0;0;"['20200212000000']";0;0;0;0;0;0;1;0;0;1;0;0;"['20200212000000']";0;0;0;0;0;0;5;0;0;0;0;0;0;0;"[]";"51.0";NA;2,0201217e+13;"1042.0";NA;2,0200212e+13;NA;NA;NA;NA;"";NA;NA;"False";1;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[11041]"
"processos-tjmsp";"TJMSP_11041_G1_15662_00012583920219260030";"TJMSP74710202111051636134121756";"TJMSP";"G1";"True";11041;"True";12583920219260030;"True";1;"Justiça Militar Estadual";"11265";1;"True";NA;0;2,0210427e+13;2,0210427e+13;"True";1636134252950;20211105144412;15662;"True";3550308;"True";0;2;"True";8;"True";1;0;0;0;0;0;0;"";1;1;1;0;0;1;1;1;1;0;0;0;"M";0;0;0;0;0;0;0;0;0;0;18;0;NA;5;0;0;"";0;3;0;0;NA;"391";NA;"['1:nome_da_parte:MINISTÉRIO PÚBLICO']";2,0210208e+13;2021;"391.0";2,0210208e+13;2021;"";NA;NA;NA;"";NA;NA;NA;"";NA;NA;"";"";"";NA;NA;"";"";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";NA;2,0211028e+13;2021;0;0;0;0;0;0;"[]";0;0;0;0;0;0;0;0;0;0;0;0;"[]";0;0;0;0;0;0;1;0;0;0;0;0;0;0;"[]";"51.0";NA;2,0211015e+13;"";NA;NA;NA;NA;NA;NA;"";NA;NA;"False";0;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[11041]"
"processos-tjmsp";"TJMSP_313_G1_15661_00018095020199260010";"TJMSP97509202110051633445138842";"TJMSP";"G1";"True";313;"True";18095020199260008;"True";1;"Justiça Militar Estadual";"3582";1;"True";NA;0;2,0201119e+13;2,0201119e+13;"True";1634355634492;20211016004034;15661;"True";3550308;"True";0;2;"True";8;"True";1;0;0;0;0;0;0;"";1;1;1;0;0;2;2;2;2;0;0;0;"M, M";0;0;0;0;0;0;0;0;0;0;41;0;NA;13;0;0;"";0;2;0;0;NA;"132";NA;"['Recebidos os autos']";2,0190325e+13;2019;"391.0";2,0200911e+13;2020;"";NA;NA;NA;"";NA;NA;NA;"";NA;NA;"";"";"";NA;NA;"";"";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"132";NA;2,0210901e+13;2021;0;0;0;0;0;0;"[]";0;0;0;0;0;0;0;0;0;0;0;0;"[]";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"[]";"51.0";NA;2,0210827e+13;"";NA;NA;NA;NA;NA;NA;"";NA;NA;"False";6;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[313]"
"processos-tjmsp";"TJMSP_7_G1_17970_00019931520159260020";"TJMSP58355202109041630756776789";"TJMSP";"G1";"True";7;"True";19931520159260020;"True";1;"Justiça Militar Estadual";"10328";1;"True";NA;0;2,0150608e+13;2,0150608e+13;"True";1630756778661;20210904085938;17970;"True";3550308;"True";0;2;"True";8;"True";1;1;1;1;0;0;0;"M";0;0;0;0;0;1;0;0;0;0;0;0;"";1;1;1;0;0;0;0;0;0;0;24;0;NA;11;0;0;"";0;12;0;0;NA;"26";NA;"['2:tipo_de_distribuicao_redistribuicao:3:prevenção']";2,0150608e+13;2015;"";NA;NA;"220.0";NA;2,0160526e+13;2016;"220.0";NA;2,0160526e+13;2016;"246.0";NA;2,0190205e+13;"";"2019.0";"246.0";NA;2,0190205e+13;"";"2019.0";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"246";NA;2,0190205e+13;2019;1;0;0;0;0;0;"['20160526000000']";0;0;0;0;0;0;1;0;0;0;0;0;"['20160526000000']";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"[]";"51.0";NA;2,0180726e+13;"220.0";NA;2,0160526e+13;NA;NA;NA;NA;"220.0";NA;2,0160526e+13;"False";0;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[7]"
"processos-tjmsp";"TJMSP_241_G1_17970_00024626120159260020";"TJMSP48227202109041630756779194";"TJMSP";"G1";"True";241;"True";24626120159260020;"True";1;"Justiça Militar Estadual";"9196";1;"True";NA;0;2,0150707e+13;2,0150707e+13;"True";1630756780124;20210904085940;17970;"True";3550308;"True";0;2;"True";8;"True";1;1;1;1;0;0;0;"M";0;0;0;0;0;1;0;0;0;0;0;0;"";1;1;1;0;0;0;0;0;0;0;30;0;NA;22;0;0;"";0;7;0;0;NA;"26.0";NA;"['2:tipo_de_distribuicao_redistribuicao:3:prevenção']";2,0150707e+13;2015;"";NA;NA;"196.0";NA;2,0180822e+13;2018;"196.0";NA;2,0180822e+13;2018;"246.0";NA;2,019073e+13;"";"2019.0";"246.0";NA;2,019073e+13;"";"2019.0";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"246";NA;2,019073e+13;2019;6;2;4;0;0;0;"['20180822000000', '20180822000000', '20190325000000', '20190329000000', '20190329000000', '20190329000000']";0;0;0;0;0;0;6;2;4;0;0;0;"['20180822000000', '20180822000000', '20190325000000', '20190329000000', '20190329000000', '20190329000000']";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"[]";"51.0";NA;2,0190605e+13;"196.0";NA;2,0190329e+13;NA;NA;NA;NA;"";NA;NA;"False";0;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[241]"
"processos-tjmsp";"TJMSP_11041_G1_15662_00025560820179260030";"TJMSP90018202108041628090917960";"TJMSP";"G1";"True";11041;"True";25560820179260032;"True";1;"Justiça Militar Estadual";"11136";1;"True";NA;0;2,0180924e+13;2,0180924e+13;"True";1628090919887;20210804122839;15662;"True";3550308;"True";0;2;"True";8;"True";1;0;0;0;0;0;0;"";1;1;1;0;0;7;7;7;7;0;0;0;"M, M, M, M, M, F, M";0;0;0;0;0;0;0;0;0;0;73;0;NA;24;0;0;"";0;2;0;0;NA;"132";NA;"['Recebidos os autos']";2,0170904e+13;2017;"391.0";2,0180913e+13;2018;"";NA;NA;NA;"";NA;NA;NA;"";NA;NA;"";"";"";NA;NA;"";"";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";NA;2,0210416e+13;2021;0;0;0;0;0;0;"[]";0;0;0;0;0;0;0;0;0;0;0;0;"[]";0;0;0;0;0;0;7;0;0;0;0;0;0;0;"[]";"51.0";NA;2,0201204e+13;"";NA;NA;NA;NA;NA;NA;"";NA;NA;"False";2;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[11041]"
"processos-tjmsp";"TJMSP_11041_G1_15662_00034235920219260030";"TJMSP11085202110051633445146235";"TJMSP";"G1";"True";11041;"True";34235920219260032;"True";1;"Justiça Militar Estadual";"11317";1;"True";NA;0;2,0210915e+13;2,0210915e+13;"True";1634355905676;20211016004505;15662;"True";3550308;"True";0;2;"True";8;"True";1;0;0;0;0;0;0;"";1;1;1;0;0;1;1;1;1;0;0;0;"M";0;0;0;0;0;0;0;0;0;0;9;0;NA;2;0;0;"";0;1;0;0;NA;"391";NA;"['1:nome_da_parte:MINISTÉRIO PÚBLICO']";2,0210806e+13;2021;"391.0";2,0210806e+13;2021;"";NA;NA;NA;"";NA;NA;NA;"";NA;NA;"";"";"";NA;NA;"";"";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"132";NA;2,0210915e+13;2021;0;0;0;0;0;0;"[]";0;0;0;0;0;0;0;0;0;0;0;0;"[]";0;0;0;0;0;0;0;0;0;0;0;0;0;0;"[]";"51.0";NA;2,0210908e+13;"";NA;NA;NA;NA;NA;NA;"";NA;NA;"False";0;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[11041]"
"processos-tjmsp";"TJMSP_11041_G1_15663_00035579520179260040";"TJMSP73274202108041628090906214";"TJMSP";"G1";"True";11041;"True";35579520179260040;"True";1;"Justiça Militar Estadual";"11238";1;"True";NA;0;2,0180507e+13;2,0180507e+13;"True";1628090909723;20210804122829;15663;"True";3550308;"True";0;2;"True";8;"True";1;0;0;0;0;0;0;"";1;1;1;0;0;1;1;1;1;0;0;0;"M";0;0;0;0;0;0;0;0;0;0;34;0;NA;11;0;0;"";0;3;0;0;NA;"132";NA;"['Recebidos os autos']";2,0171204e+13;2017;"391.0";2,0180502e+13;2018;"";NA;NA;NA;"";NA;NA;NA;"";NA;NA;"";"";"";NA;NA;"";"";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"123";NA;2,0190503e+13;2019;0;0;0;0;0;0;"[]";0;0;0;0;0;0;0;0;0;0;0;0;"[]";0;0;0;0;0;0;3;0;0;0;0;0;0;0;"[]";"51.0";NA;2,0180808e+13;"";NA;NA;NA;NA;NA;NA;"";NA;NA;"False";2;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[11041]"
"processos-tjmsp";"TJMSP_11041_G1_15663_00036182420159260040";"TJMSP46665202108041628090850419";"TJMSP";"G1";"True";11041;"True";36182420159260040;"True";1;"Justiça Militar Estadual";"11243, 11069, 11238, 11069";4;"True";NA;0;2,0160314e+13;2,0160314e+13;"True";1628090852709;20210804122732;15663;"True";3550308;"True";0;2;"True";8;"True";1;0;0;0;0;0;0;"";1;1;1;0;0;1;1;1;1;0;0;0;"M";0;0;0;0;0;0;0;0;0;0;54;0;NA;22;0;0;"";0;4;0;0;NA;"132";NA;"['Recebidos os autos']";2,0151119e+13;2015;"391.0";2,0160304e+13;2016;"";NA;NA;NA;"";NA;NA;NA;"246.0";NA;2,0170426e+13;"";"2017.0";"246.0";NA;2,0170426e+13;"";"2017.0";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"123";NA;2,0190502e+13;2019;0;0;0;0;0;0;"[]";0;0;0;0;0;0;0;0;0;0;0;0;"[]";0;0;0;0;0;0;7;0;0;0;0;0;0;0;"[]";"51.0";NA;2,0170426e+13;"";NA;NA;NA;NA;NA;NA;"";NA;NA;"False";4;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[11041]"
"processos-tjmsp";"TJMSP_11041_G1_15662_00045390820189260030";"TJMSP90018202108041628090917960";"TJMSP";"G1";"True";11041;"True";45390820189260032;"True";1;"Justiça Militar Estadual";"11238";1;"True";NA;0;2,0180828e+13;2,0180828e+13;"True";1628090919617;20210804122839;15662;"True";3550308;"True";0;2;"True";8;"True";1;0;0;0;0;0;0;"";1;1;1;0;0;1;1;1;1;0;0;0;"M";0;0;0;0;0;0;0;0;0;0;31;0;NA;12;0;0;"";0;2;2;0;NA;"391.0";NA;"['1:nome_da_parte:D']";2,0180809e+13;2018;"391.0";2,0180809e+13;2018;"";NA;NA;NA;"";NA;NA;NA;"";NA;NA;"";"";"";NA;NA;"";"";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";NA;2,019093e+13;2019;0;0;0;0;0;0;"[]";0;0;0;0;0;0;0;0;0;0;0;0;"[]";0;0;0;0;0;0;1;0;0;0;0;0;0;0;"[]";"51.0";NA;2,0190919e+13;"";NA;NA;NA;NA;NA;NA;"";NA;NA;"False";1;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[11041]"
"processos-tjmsp";"TJMSP_11041_G1_15662_00073085220199260030";"TJMSP68025202110051633445153715";"TJMSP";"G1";"True";11041;"True";73085220199260032;"True";1;"Justiça Militar Estadual";"11238, 11069";2;"True";NA;0;2,0200715e+13;2,0200715e+13;"True";1634355941150;20211016004541;15662;"True";3550308;"True";0;2;"True";8;"True";1;0;0;0;0;0;0;"";1;1;1;0;0;1;1;1;1;0;0;0;"M";0;0;0;0;0;0;0;0;0;0;34;0;NA;12;0;0;"";0;3;0;0;NA;"132";NA;"['Recebidos os autos']";2,0191219e+13;2019;"391.0";2,0200523e+13;2020;"";NA;NA;NA;"";NA;NA;NA;"";NA;NA;"";"";"";NA;NA;"";"";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"132";NA;2,021091e+13;2021;0;0;0;0;0;0;"[]";0;0;0;0;0;0;0;0;0;0;0;0;"[]";0;0;0;0;0;0;1;0;0;0;0;0;0;0;"[]";"51.0";NA;2,021091e+13;"";NA;NA;NA;NA;NA;NA;"";NA;NA;"False";1;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[11041]"
"processos-tjmsp";"TJMSP_120_G1_29005_08000068220159260060";"TJMSP86982202108211629573348613";"TJMSP";"G1";"True";120;"True";8000068220159259648;"True";1;"Justiça Militar Estadual";"8843, 8961, 10364";3;"True";NA;0;20151215192857;20151215192857;"True";1629573349409;20210821161549;29005;"True";26;"False";0;1;"True";1;"True";1;1;1;1;0;0;0;"M";0;0;0;0;0;1;0;0;0;0;0;0;"";0;0;0;1;0;0;0;0;0;0;66;0;NA;51;0;1;"581";0;11;0;0;NA;"26";NA;"['2:tipo_de_distribuicao_redistribuicao:2:sorteio']";20151215192857;2015;"";NA;NA;"450.0";NA;20160603193003;2016;"450.0";NA;20160603193003;2016;"246.0";NA;20161126181517;"";"2016.0";"246.0";NA;20161126181517;"";"2016.0";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"60";NA;20200813123927;2020;1;0;0;0;0;0;"['20160603193003']";0;0;0;0;0;0;1;0;0;0;0;0;"['20160603193003']";1;0;0;0;0;0;0;0;0;0;0;0;0;0;"[]";"51.0";NA;20161020200136;"450.0";NA;20160603193003;NA;NA;NA;NA;"";NA;NA;"False";0;0;0;0;NA;NA;NA;NA;"";0;0;NA;0;0;NA;0;0;NA;"849.0";NA;20161126181516;"[120]"
"processos-tjmsp";"TJMSP_120_G1_29005_08000086620199260010";"TJMSP83421202108211629573362489";"TJMSP";"G1";"True";120;"True";8000086620199260160;"True";1;"Justiça Militar Estadual";"8843, 8961, 9196, 10366";4;"True";NA;0;20191209190307;20191209190307;"True";1629573363069;20210821161603;29005;"True";26;"False";0;1;"True";1;"True";1;1;1;1;0;0;0;"M";0;0;0;0;0;1;0;0;0;0;0;0;"";0;0;0;1;0;0;0;0;0;0;61;0;NA;50;0;0;"";0;10;0;0;NA;"26.0";NA;"['2:tipo_de_distribuicao_redistribuicao:2:sorteio']";20191209190307;2019;"";NA;NA;"442.0";NA;20200422185306;2020;"442.0";NA;20200422185306;2020;"123.0";NA;20200724211725;"18:motivo_da_remessa:38";"2020.0";"123.0";NA;20200724211725;"18:motivo_da_remessa:38";"2020.0";"";NA;NA;"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"123";NA;20200724211725;2020;1;0;0;1;0;0;"['20200422185306']";0;0;0;0;0;0;1;0;0;1;0;0;"['20200422185306']";2;0;0;2;0;0;0;0;0;0;0;0;0;0;"[]";"51.0";NA;20200624150433;"442.0";NA;20200422185306;NA;NA;NA;NA;"";NA;NA;"False";1;0;1;0;10966;20191226094856;7;120;"26:classe_antiga:7 27:classe_nova:120";0;0;NA;0;0;NA;0;0;NA;"";NA;NA;"[120]"
